Date,Commodity,District,Rainfall_Index_mm,Mandi_Arrival_Tonnes,Modal_Price
2026-01-31,Maize,Jammu,7.39,51.43,2094.29
2025-05-10,Paddy,Udhampur,0.56,102.94,1921.19
2026-02-04,Maize,Jammu,36.15,145.14,1880.56
2025-12-31,Paddy,Poonch,2.56,17.06,2143.29
2025-11-10,Wheat,Jammu,3.63,134.65,2134.02
2023-05-02,Maize,Poonch,3.62,90.76,1894.99
2024-04-11,Mustard,Jammu,2.62,88.95,5389.62
2023-11-27,Mustard,Udhampur,0.01,80.04,5555.68
2023-03-29,Apple,Udhampur,13.07,19.72,7523.21
2026-01-28,Paddy,Udhampur,34.07,22.58,2209.09
2025-05-21,Maize,Kathua,2.54,94.13,1912.58
2023-05-11,Apple,Rajouri,10.88,57.73,7404.58
2025-02-08,Maize,Udhampur,13.54,138.42,1930.67
2023-12-10,Paddy,Poonch,18.87,66.92,2114.82
2025-03-16,Mustard,Udhampur,5.49,30.06,5644.71
2024-01-21,Wheat,Kathua,3.61,110.06,1993.0
2025-08-13,Mustard,Poonch,3.93,51.07,5547.41
2023-10-04,Apple,Kathua,12.47,83.57,7363.88
2026-03-30,Wheat,Poonch,16.97,107.7,2156.22
2024-04-04,Apple,Jammu,2.0,136.04,7278.13
2023-01-22,Paddy,Rajouri,4.64,120.91,2052.39
2023-09-10,Wheat,Rajouri,23.22,104.69,2108.6
2025-01-17,Apple,Kathua,16.43,105.15,7396.9
2025-05-06,Paddy,Rajouri,41.9,142.43,2128.56
2024-04-19,Mustard,Kathua,14.03,51.42,5701.32
2025-12-18,Paddy,Kathua,5.0,10.16,2162.08
2024-05-25,Maize,Kathua,8.93,48.07,2061.07
2024-11-30,Paddy,Rajouri,10.82,40.5,2075.7
2025-09-02,Paddy,Kathua,0.82,102.66,1924.0
2023-07-09,Maize,Rajouri,7.86,98.72,2005.09
2025-08-15,Apple,Kathua,12.36,93.08,7399.68
2024-11-17,Apple,Udhampur,1.83,12.27,7540.48
2025-08-15,Paddy,Kathua,15.17,112.03,2001.7
2024-07-16,Maize,Poonch,8.77,55.29,2058.52
2025-04-11,Maize,Kathua,30.41,103.11,2116.74
2026-02-28,Mustard,Jammu,0.43,87.92,5538.38
2024-10-08,Apple,Kathua,3.08,57.98,7435.33
2023-01-21,Wheat,Poonch,9.2,28.84,2261.57
2025-04-20,Apple,Poonch,3.52,23.22,7405.74
2023-06-16,Apple,Rajouri,12.53,126.41,7411.48
2024-01-23,Mustard,Udhampur,14.23,138.58,5460.18
2024-08-23,Wheat,Kathua,1.08,100.97,2149.7
2023-11-12,Mustard,Rajouri,7.21,24.48,5566.02
2023-01-14,Wheat,Udhampur,7.11,66.28,2145.26
2023-08-30,Paddy,Kathua,4.61,112.05,2094.26
2025-02-15,Wheat,Jammu,27.02,119.17,2167.08
2024-07-18,Mustard,Kathua,17.57,26.55,5731.8
